Model,Accuracy,Precision,Recall,F1-score
emnist_advanced.h5,0.8810897243021586,0.8775077615611506,0.8810897243021586,0.8675462586750201
create_super_advanced_emnist_model.h5,0.8800839043009551,0.8732332930159208,0.8800839043009551,0.8679645124123246
emnist_model3_updated2.h5,0.8793359868641627,0.8741447121017916,0.8793359868641627,0.8672290999403064
emnist_model3_updated.h5,0.8778831357513132,0.8713759960441579,0.8778831357513132,0.8645438487902962
emnist_model3.h5,0.8750118205342022,0.8677221535614463,0.8750118205342022,0.8623686353614546
emnist_model4.h5,0.8713582008717107,0.8643481309721022,0.8713582008717107,0.8575375074804575
emnist_model3_updated_aug.h5,0.8378136739939651,0.8397262656875585,0.8378136739939651,0.8235634375153718
emnist_model3_updated_Mnist.h5,0.39055904679212194,0.5622262460750075,0.39055904679212194,0.3158388353195851
